classes,conf,x1,y1,x2,y2,fps
truck,0.43492985,574.0,607.0,790.0,743.0,41
car,0.41477537,1545.0,221.0,1590.0,252.0,41
car,0.80578065,1353.0,514.0,1509.0,629.0,42
car,0.8037567,1255.0,380.0,1377.0,475.0,42
bus,0.72956085,125.0,671.0,463.0,922.0,42
train,0.68013144,124.0,672.0,456.0,922.0,42
car,0.670104,588.0,604.0,797.0,735.0,42
car,0.54790664,932.0,241.0,1029.0,324.0,42
car,0.48310995,1544.0,221.0,1591.0,253.0,42
bus,0.83030534,152.0,665.0,485.0,921.0,43
car,0.78668904,1358.0,505.0,1504.0,618.0,43
car,0.77591324,1262.0,381.0,1385.0,471.0,43
car,0.73180294,611.0,595.0,809.0,725.0,43
car,0.49732113,1545.0,220.0,1590.0,249.0,43
car,0.49153328,923.0,242.0,1024.0,328.0,43
car,0.44764996,1583.0,195.0,1624.0,236.0,43
truck,0.44158506,925.0,244.0,1021.0,327.0,43
car,0.84281564,623.0,588.0,826.0,717.0,44
bus,0.8261323,180.0,645.0,502.0,899.0,44
car,0.803318,1365.0,501.0,1514.0,610.0,44
car,0.79203916,1264.0,376.0,1385.0,470.0,44
car,0.47926903,1544.0,219.0,1591.0,248.0,44
car,0.47655487,919.0,242.0,1020.0,331.0,44
car,0.43335915,1583.0,195.0,1624.0,237.0,44
truck,0.40438557,921.0,244.0,1017.0,330.0,44
bus,0.8427613,206.0,640.0,524.0,890.0,45
car,0.8339977,1371.0,497.0,1520.0,607.0,45
car,0.81072855,638.0,580.0,834.0,702.0,45
car,0.8067939,1273.0,372.0,1388.0,464.0,45
truck,0.5738964,916.0,244.0,1012.0,334.0,45
car,0.83333015,1274.0,370.0,1391.0,461.0,46
car,0.80580425,1372.0,491.0,1518.0,602.0,46
bus,0.76626515,231.0,634.0,545.0,869.0,46
car,0.74778557,656.0,571.0,846.0,693.0,46
truck,0.5307157,911.0,245.0,1006.0,333.0,46
car,0.49655342,1548.0,219.0,1593.0,247.0,46
bus,0.8647003,259.0,626.0,564.0,865.0,47
car,0.80676556,1377.0,487.0,1521.0,595.0,47
car,0.7956469,1281.0,367.0,1393.0,457.0,47
truck,0.57583237,904.0,248.0,1001.0,333.0,47
car,0.5407548,1548.0,217.0,1596.0,247.0,47
car,0.5031681,669.0,561.0,858.0,683.0,47
truck,0.40727997,673.0,559.0,860.0,681.0,47
bus,0.85932374,281.0,619.0,578.0,851.0,48
car,0.84793425,683.0,551.0,871.0,673.0,48
car,0.8441045,1283.0,366.0,1397.0,452.0,48
car,0.82881117,1383.0,485.0,1523.0,589.0,48
car,0.6387577,898.0,253.0,996.0,334.0,48
car,0.4928398,1552.0,215.0,1595.0,246.0,48
bus,0.84174156,303.0,608.0,595.0,840.0,49
car,0.8323746,1287.0,363.0,1401.0,450.0,49
car,0.824667,1388.0,478.0,1529.0,583.0,49
car,0.7178397,697.0,546.0,887.0,667.0,49
car,0.5537336,890.0,255.0,991.0,335.0,49
truck,0.44085717,888.0,251.0,991.0,334.0,49
bus,0.8529501,326.0,597.0,616.0,827.0,50
